,filename,crossbar_energy,DAC_energy,ADC_energy,Buffer_energy,Other_digital_part_energy,Model,pim_energy
0,1-llama-7b.txt,650.6666614878208,124.8878592,83840.0,104176.49340928002,135.4686149374306,1-llama-7b,140027.908254
1,6-opt-13b.txt,1245.0903292574303,238.3699968,159616.0,195874.54387712,259.1408773524822,6-opt-13b,243513.1258
2,1-llama-13b.txt,984.0258805748316,188.5298688,126336.0,155601.75144192,204.82535669722307,1-llama-13b,206554.119533
3,1-gpt2-small.txt,36.16111305031881,7.571865599999999,5504.0,9380.53583104,7.618235548897451,1-gpt2-small,14082.986901
4,7-opt-30b.txt,2361.6428943922383,451.5323903999999,301952.0,368118.1792153601,491.44418107805234,7-opt-30b,450483.560891
5,5-opt-6b7m.txt,819.3544590981155,157.0922496,105344.0,130198.91313664,170.564797514675,5-opt-6b7m,163909.112303
6,2-gpt2-medium.txt,48.21024145105416,9.8721792,7040.0,11239.28009728,10.125105732986336,2-gpt2-medium,17210.287431
7,3-opt-1b3m.txt,232.9635435956626,45.1436544,30592.0,39740.025512960005,48.56378188901592,3-opt-1b3m,52463.493408
8,3-gpt2-large.txt,70.3003101857356,14.0894208,9856.0,14646.977918720002,14.721034403815956,3-gpt2-large,22611.988347
9,4-opt-2b7m.txt,346.42616936925367,66.8049408,45056.0,57243.20068672,72.17014278918624,4-opt-2b7m,74354.597119
10,2-opt-350m.txt,72.30849825252481,14.4728064,10112.0,14956.76862976,15.138846101164107,2-opt-350m,20621.888009
11,4-gpt2-xl.txt,114.4804476550985,22.523904,15488.0,21462.373561600005,23.912891745475207,4-gpt2-xl,33415.390178
