File Name,Total Power (W)
7-opt-30b,1789.0193908102747
3-gpt2-large,71.89490307109338
2-opt-350m,63.90827754672509
1-gpt2-small,37.66650796665787
6-opt-13b,958.4103362759731
4-opt-2b7m,279.5471667046688
3-opt-1b3m,191.69428593661763
1-llama-7b,543.1058090088222
4-gpt2-xl,115.25087020337834
1-llama-13b,810.0872908234192
2-gpt2-medium,50.21691950495088
5-opt-6b7m,638.9453153012416
