File Name,Layer Index,Layer Architecture,Total Layer Latency (ns),Computing Latency (ns),Intra-Tile Latency (ns),Inter-Tile Latency (ns),One Layer Merge Latency (ns),Hardware Energy (nJ)
4-gpt2-xl.txt,1,fc,14535.796573440079,223.56020544,4.25,9742.0,5441.200000000001,4701.085309964744
4-gpt2-xl.txt,2,fc,14947.396573439939,223.56020544,4.25,10153.599999999999,5852.8,13930.702361901367
4-gpt2-xl.txt,3,fc,16182.196573439986,223.56020544,4.25,11388.4,7087.6,3695.9006266268934
4-gpt2-xl.txt,4,fc,19446.996573440032,223.56020544,4.25,14653.199999999999,4618.0,3695.9006266268934
4-gpt2-xl.txt,5,fc,15557.796573440079,223.56020544,4.25,10764.0,5029.6,3695.9006266268934
4-gpt2-xl.txt,6,fc,9823.396573439939,223.56020544,4.25,5029.6,5029.6,3695.9006266268934
