File Name,Layer Index,Layer Architecture,Total Layer Latency (ns),Computing Latency (ns),Intra-Tile Latency (ns),Inter-Tile Latency (ns),One Layer Merge Latency (ns),Hardware Energy (nJ)
7-opt-30b.txt,1,fc,79061.79657344008,223.56020544,4.25,74268.0,8322.400000000001,4701.085309964744
7-opt-30b.txt,2,fc,83986.99657344003,223.56020544,4.25,79193.19999999998,10380.400000000001,55722.80944760547
7-opt-30b.txt,3,fc,97513.79657344008,223.56020544,4.25,92720.0,12438.400000000001,55722.80944760547
7-opt-30b.txt,4,fc,130699.39657344017,223.56020544,4.25,125905.59999999999,14084.800000000001,55722.80944760547
7-opt-30b.txt,5,fc,573908.5965734399,223.56020544,4.25,569114.7999999999,18612.4,55722.80944760547
7-opt-30b.txt,6,fc,27110.596573439892,223.56020544,4.25,22316.800000000003,22316.800000000003,222891.23779042187
