,Model,pim_layer_latency,Total_Compute_Cycles,Total_Attention_Cycles,pim_+_tpu_latency,tpu_latency,n_layers,n_tokens_tpu_pim,n_tokens_tpu,Energy_tpu_nJ
2,1-gpt2-small,46431,188454,165456,0.001700991,0.00188454,12,48.99104894342964,44.219455853064055,424067.1058680001
4,2-gpt2-medium,49919,257418,220608,0.0022559990000000003,0.00257418,24,18.46927532621542,16.186384272532095,579252.795156
6,2-opt-350m,68770,288114,220608,0.00227485,0.0028811400000000004,24,18.316225978269628,14.461868103135101,648326.223588
9,3-gpt2-large,56882,329454,275760,0.002814482,0.0032945400000000003,36,9.869588001549761,8.431458649091459,741351.227868
7,4-gpt2-xl,71250,433314,344700,0.00351825,0.00433314,48,5.921504535872475,4.8079068143040224,975061.3619880001
10,3-opt-1b3m,129023,674538,441216,0.004541183,0.0067453800000000005,24,9.175289052801148,6.177067365614193,1517873.738196
8,4-opt-2b7m,164080,802502,449408,0.004658160000000001,0.00802502,32,6.708657495663523,3.894071292034163,1805823.7054840003
5,1-llama-7b,244099,1151108,473984,0.004983939000000001,0.01151108,32,6.270140946749147,2.714775676999899,2590271.568136
3,5-opt-6b7m,322854,1333850,473984,0.005062694,0.013338500000000001,32,6.172602965930786,2.342842148667391,3001485.2917000004
1,2-llama-13b,344382,1633574,592480,0.006269182000000001,0.01633574,40,3.987761082705845,1.5303867470956318,3675936.8249080004
0,6-opt-13b,466250,1913074,592480,0.0063910500000000005,0.01913074,40,3.911720296351929,1.3067973324607411,4304879.463908001
11,7-opt-30b,839472,3366434,829472,0.009134192000000001,0.03366434,48,2.2808074686117097,0.6188546495589498,7575291.177028
