Unnamed: 0,Model,Energy_tpu_nJ,filename,crossbar_energy,DAC_energy,ADC_energy,Buffer_energy,Other_digital_part_energy,pim_energy,pim_energy
2,1-gpt2-small,110293.36138800002,1-gpt2-small.txt,36.16111305031881,7.571865599999999,5504.0,9380.53583104,7.618235548897451,14082.986901,14082.986901
4,2-gpt2-medium,160887.80251600005,2-gpt2-medium.txt,48.21024145105416,9.8721792,7040.0,11239.28009728,10.125105732986336,17210.287431,17210.287431
6,2-opt-350m,229961.230948,2-opt-350m.txt,72.30849825252481,14.4728064,10112.0,14956.76862976,15.138846101164107,20621.888009,20621.888009
9,3-gpt2-large,218394.98706800005,3-gpt2-large.txt,70.3003101857356,14.0894208,9856.0,14646.977918720002,14.721034403815956,22611.988347,22611.988347
7,4-gpt2-xl,321366.060988,4-gpt2-xl.txt,114.4804476550985,22.523904,15488.0,21462.373561600005,23.912891745475207,33415.390178,33415.390178
10,3-opt-1b3m,681143.7529160001,3-opt-1b3m.txt,232.9635435956626,45.1436544,30592.0,39740.025512960005,48.56378188901592,52463.493408,52463.493408
8,4-opt-2b7m,952963.985548,4-opt-2b7m.txt,346.42616936925367,66.8049408,45056.0,57243.20068672,72.17014278918624,74354.597119,74354.597119
5,1-llama-7b,1689022.6442320002,1-llama-7b.txt,650.6666614878208,124.8878592,83840.0,104176.49340928002,135.4686149374306,140027.908254,140027.908254
3,5-opt-6b7m,2100236.367796,5-opt-6b7m.txt,819.3544590981155,157.0922496,105344.0,130198.91313664,170.564797514675,163909.112303,163909.112303
1,2-llama-13b,2549375.670028,2-llama-13b.txt,984.0258805748316,188.5298688,126336.0,155601.75144192,204.82535669722307,206554.119533,206554.119533
0,6-opt-13b,3178318.3090280006,6-opt-13b.txt,1245.0903292574303,238.3699968,159616.0,195874.54387712,259.1408773524822,243513.1258,243513.1258
11,7-opt-30b,5998105.560196001,7-opt-30b.txt,2361.6428943922383,451.5323903999999,301952.0,368118.1792153601,491.44418107805234,450483.560891,450483.560891
