File Name,Layer Index,Layer Architecture,Total Layer Latency (ns),Computing Latency (ns),Intra-Tile Latency (ns),Inter-Tile Latency (ns),One Layer Merge Latency (ns),Hardware Power Consumption (W)
3-opt-1b3m.txt,1,fc,16788.596573439892,223.56020544,4.25,11994.800000000001,5441.200000000001,0.015273351778801778
3-opt-1b3m.txt,2,fc,19242.196573439986,223.56020544,4.25,14448.400000000001,4618.0,63.893004194946286
3-opt-1b3m.txt,3,fc,20880.596573439892,223.56020544,4.25,16086.800000000001,4618.0,18.25514405569894
3-opt-1b3m.txt,4,fc,22930.596573439892,223.56020544,4.25,18136.800000000003,5029.6,18.25514405569894
3-opt-1b3m.txt,5,fc,61444.99657344003,223.56020544,4.25,56651.2,7499.200000000001,18.25514405569894
3-opt-1b3m.txt,6,fc,13527.796573440079,223.56020544,4.25,8734.0,8734.0,73.02057622279575
