File Name,Layer Index,Layer Architecture,Total Layer Latency (ns),Computing Latency (ns),Intra-Tile Latency (ns),Inter-Tile Latency (ns),One Layer Merge Latency (ns),Hardware Power Consumption (W)
1-llama-13b.txt,1,fc,48745.39657343994,223.56020544,4.25,43951.6,7087.6,0.015273351778801778
1-llama-13b.txt,2,fc,50391.79657344008,223.56020544,4.25,45598.0,8734.0,159.73251048736572
1-llama-13b.txt,3,fc,55722.59657343989,223.56020544,4.25,50928.8,9968.8,114.09465034811836
1-llama-13b.txt,4,fc,68833.79657344008,223.56020544,4.25,64040.0,10792.0,114.09465034811836
1-llama-13b.txt,5,fc,189472.9965734398,223.56020544,4.25,184679.2,13261.6,114.09465034811836
1-llama-13b.txt,6,fc,20113.39657344017,223.56020544,4.25,15319.6,15319.6,308.0555559399196
