File Name,Layer Index,Layer Architecture,Total Layer Latency (ns),Computing Latency (ns),Intra-Tile Latency (ns),Inter-Tile Latency (ns),One Layer Merge Latency (ns),Hardware Energy (nJ)
5-opt-6b7m.txt,1,fc,34407.39657343994,223.56020544,4.25,29613.600000000002,6676.0,4701.085309964744
5-opt-6b7m.txt,2,fc,37280.59657343989,223.56020544,4.25,32486.8,7910.8,31841.60539863169
5-opt-6b7m.txt,3,fc,41380.59657343989,223.56020544,4.25,36586.8,8734.0,18195.203084932396
5-opt-6b7m.txt,4,fc,52034.196573439986,223.56020544,4.25,47240.40000000001,9557.2,18195.203084932396
5-opt-6b7m.txt,5,fc,200321.39657343994,223.56020544,4.25,195527.6,12026.800000000001,18195.203084932396
5-opt-6b7m.txt,6,fc,18878.596573439892,223.56020544,4.25,14084.800000000001,14084.800000000001,72780.81233972959
