File Name,Layer Index,Layer Architecture,Total Layer Latency (ns),Computing Latency (ns),Intra-Tile Latency (ns),Inter-Tile Latency (ns),One Layer Merge Latency (ns),Hardware Energy (nJ)
1-llama-7b.txt,1,fc,34407.39657343994,223.56020544,4.25,29613.600000000002,6676.0,4701.085309964744
1-llama-7b.txt,2,fc,37280.59657343989,223.56020544,4.25,32486.8,7910.8,31841.60539863169
1-llama-7b.txt,3,fc,41380.59657343989,223.56020544,4.25,36586.8,8734.0,18195.203084932396
1-llama-7b.txt,4,fc,48757.39657343994,223.56020544,4.25,43963.600000000006,9557.2,18195.203084932396
1-llama-7b.txt,5,fc,126077.39657343994,223.56020544,4.25,121283.6,11203.6,18195.203084932396
1-llama-7b.txt,6,fc,17643.79657344008,223.56020544,4.25,12850.0,12850.0,48899.608290755816
