File Name,Layer Index,Layer Architecture,Total Layer Latency (ns),Computing Latency (ns),Intra-Tile Latency (ns),Inter-Tile Latency (ns),One Layer Merge Latency (ns),Hardware Energy (nJ)
2-opt-350m.txt,1,fc,11050.196573439986,223.56020544,4.25,6256.4,4618.0,4701.085309964744
2-opt-350m.txt,2,fc,10226.996573440032,223.56020544,4.25,5433.200000000001,3794.8,7960.401349657923
2-opt-350m.txt,3,fc,9815.396573439939,223.56020544,4.25,5021.6,3383.2,1137.2001928082748
2-opt-350m.txt,4,fc,12272.996573440032,223.56020544,4.25,7479.2,3383.2,1137.2001928082748
2-opt-350m.txt,5,fc,25795.79657344008,223.56020544,4.25,21002.0,4618.0,1137.2001928082748
2-opt-350m.txt,6,fc,9411.796573440079,223.56020544,4.25,4618.0,4618.0,4548.800771233099
