File Name,Layer Index,Layer Architecture,Total Layer Latency (ns),Computing Latency (ns),Intra-Tile Latency (ns),Inter-Tile Latency (ns),One Layer Merge Latency (ns),Hardware Energy (nJ)
4-opt-2b7m.txt,1,fc,20886.596573439892,223.56020544,4.25,16092.8,5852.8,4701.085309964744
4-opt-2b7m.txt,2,fc,22522.996573440032,223.56020544,4.25,17729.2,5441.200000000001,19901.003374144813
4-opt-2b7m.txt,3,fc,24169.39657343994,223.56020544,4.25,19375.6,7087.6,7107.501205051718
4-opt-2b7m.txt,4,fc,27652.996573440032,223.56020544,4.25,22859.2,7499.200000000001,7107.501205051718
4-opt-2b7m.txt,5,fc,87255.79657344008,223.56020544,4.25,82462.0,8734.0,7107.501205051718
4-opt-2b7m.txt,6,fc,14762.596573439892,223.56020544,4.25,9968.8,9968.8,28430.004820206872
