,Model,Energy_tpu_nJ
2,1-gpt2-small,84424.57935600002
4,2-gpt2-medium,126396.09314000003
6,2-opt-350m,195469.521572
9,3-gpt2-large,175280.35034800004
7,4-gpt2-xl,267472.76508800004
10,3-opt-1b3m,612160.3341640001
8,4-opt-2b7m,882828.4428920002
5,1-llama-7b,1615430.729864
3,5-opt-6b7m,2026644.4534280002
1,2-llama-13b,2457385.7770680008
0,6-opt-13b,3086328.4160680003
11,7-opt-30b,5869319.710052
