,Model,Energy_tpu_nJ
2,1-gpt2-small,110293.36138800002
4,2-gpt2-medium,160887.80251600003
6,2-opt-350m,229961.230948
9,3-gpt2-large,218394.98706800005
7,4-gpt2-xl,321366.060988
10,3-opt-1b3m,681143.7529160001
8,4-opt-2b7m,952963.9855480001
5,1-llama-7b,1689022.6442320002
3,5-opt-6b7m,2100236.367796
1,2-llama-13b,2549375.670028
0,6-opt-13b,3178318.3090280006
11,7-opt-30b,5998105.560196001
