,Model,Energy_tpu_nJ
2,1-gpt2-small,155118.18202800004
4,2-gpt2-medium,220654.23003600002
6,2-opt-350m,289727.65846800007
9,3-gpt2-large,293103.02146799996
7,4-gpt2-xl,414751.1039880001
10,3-opt-1b3m,800676.607956
8,4-opt-2b7m,1074801.0883960002
5,1-llama-7b,1817772.4905040003
3,5-opt-6b7m,2228986.214068
1,2-llama-13b,2710312.9778680005
0,6-opt-13b,3339255.6168680005
11,7-opt-30b,6223417.7911720015
