,Model,Energy_tpu_nJ
2,1-gpt2-small,424067.1058680001
4,2-gpt2-medium,579252.795156
6,2-opt-350m,648326.223588
9,3-gpt2-large,741351.227868
7,4-gpt2-xl,975061.3619880001
10,3-opt-1b3m,1517873.738196
8,4-opt-2b7m,1805823.7054840003
5,1-llama-7b,2590271.568136
3,5-opt-6b7m,3001485.2917000004
1,2-llama-13b,3675936.8249080004
0,6-opt-13b,4304879.463908001
11,7-opt-30b,7575291.177028
