,Model,Energy_tpu_nJ
2,1-gpt2-small,87880.95106800001
4,2-gpt2-medium,131004.58875600003
6,2-opt-350m,200078.01718800003
9,3-gpt2-large,181040.96986800001
7,4-gpt2-xl,274673.53948800004
10,3-opt-1b3m,621377.3253960001
8,4-opt-2b7m,892045.434124
5,1-llama-7b,1624647.7210960004
3,5-opt-6b7m,2035861.4446600005
1,2-llama-13b,2468907.0161080007
0,6-opt-13b,3097849.6551080006
11,7-opt-30b,5885449.444708001
