,Model,Energy_tpu_nJ
2,1-gpt2-small,244767.82330800002
4,2-gpt2-medium,340187.0850760001
6,2-opt-350m,409260.513508
9,3-gpt2-large,442519.0902680001
7,4-gpt2-xl,601521.1899880001
10,3-opt-1b3m,1039742.3180359999
8,4-opt-2b7m,1318475.2940920002
5,1-llama-7b,2075272.1830480003
3,5-opt-6b7m,2486485.9066120004
1,2-llama-13b,3032187.593548001
0,6-opt-13b,3661130.2325480003
11,7-opt-30b,6674042.2531240005
