,Model,pim_layer_latency,Total_Compute_Cycles,Total_Attention_Cycles,pim_+_tpu_latency,tpu_latency,n_layers,n_tokens_tpu_pim,n_tokens_tpu
2,1-gpt2-small,46431,130098,10584,0.00015227100000000002,0.00130098,12,547.2698894295914,64.054277032186
4,2-gpt2-medium,49919,222618,14112,0.00019103900000000003,0.0022261800000000003,24,218.10555261840076,18.71666561853339
6,2-opt-350m,68770,425178,14112,0.00020989,0.00425178,24,198.51668334206806,9.79981717461079
9,3-gpt2-large,56882,339714,17640,0.00023328200000000002,0.0033971400000000003,36,119.07381528698217,8.176812783040374
7,4-gpt2-xl,71250,520644,22050,0.00029175,0.0052064400000000005,48,71.4081690945444,4.001454608779383
10,3-opt-1b3m,129023,1636794,28224,0.00041126300000000004,0.01636794,24,101.31391996524526,2.54562679644883
8,4-opt-2b7m,164080,2538586,36352,0.0005276,0.025385860000000003,32,59.23047763457164,1.2310002497453305
5,1-llama-7b,244099,5024778,48576,0.000729859,0.050247780000000006,32,42.816489212299906,0.6219180230449981
3,5-opt-6b7m,322854,6411450,48576,0.000808614,0.0641145,32,38.64637515551301,0.48740924439869293
1,2-llama-13b,344382,7837578,60720,0.0009515820000000001,0.07837578,40,26.27203961403221,0.31897609184878284
0,6-opt-13b,466250,9980394,60720,0.00107345,0.09980394000000001,40,23.289394009967857,0.2504911128759045
11,7-opt-30b,839472,19477578,85008,0.0016895520000000002,0.19477578,48,12.330684899507876,0.10696059506645711
