,Model,pim_layer_latency,Total_Compute_Cycles,Total_Attention_Cycles,pim_+_tpu_latency,tpu_latency,n_layers,n_tokens_tpu_pim,n_tokens_tpu
2,1-gpt2-small,46431,157458,37944,0.00042587100000000003,0.0015745800000000001,12,195.6774077909351,52.924166020991834
4,2-gpt2-medium,49919,259098,50592,0.000555839,0.00259098,24,74.96175451284753,16.081431221648437
6,2-opt-350m,68770,461658,50592,0.00057469,0.00461658,24,72.50285661255054,9.025440188768886
9,3-gpt2-large,56882,385314,63240,0.000689282,0.00385314,36,40.29958388261666,7.209127562916939
7,4-gpt2-xl,71250,577644,79050,0.0008617500000000001,0.005776440000000001,48,24.175611642974566,3.606604298379855
10,3-opt-1b3m,129023,1709754,101184,0.001140863,0.01709754,24,36.52205976236118,2.4369977591318204
8,4-opt-2b7m,164080,2629978,127744,0.0014415200000000002,0.026299780000000002,32,21.67850602142183,1.1882228672635284
5,1-llama-7b,244099,5146890,170688,0.001950979,0.051468900000000005,32,16.017599369342264,0.6071627720817814
3,5-opt-6b7m,322854,6533562,170688,0.002029734,0.06533562000000001,32,15.396106090748837,0.4782995860451006
1,2-llama-13b,344382,7990218,213360,0.002477982,0.07990218,40,10.088854559879772,0.31288257717123613
0,6-opt-13b,466250,10133034,213360,0.0025998500000000003,0.10133034,40,9.61593938111814,0.24671781423017033
11,7-opt-30b,839472,19691274,298704,0.0038265120000000002,0.19691274,48,5.4444709263510305,0.10579982449755833
