,Model,pim_layer_latency,Total_Compute_Cycles,Total_Attention_Cycles,pim_+_tpu_latency,tpu_latency,n_layers,n_tokens_tpu_pim,n_tokens_tpu
2,1-gpt2-small,46431,266898,147384,0.0015202710000000001,0.00266898,12,54.81478850371633,31.222914121999164
4,2-gpt2-medium,49919,405018,196512,0.002015039,0.0040501800000000004,24,20.677846268318707,10.287608616571772
6,2-opt-350m,68770,607578,196512,0.00203389,0.00607578,24,20.486194763073062,6.8578300509015575
9,3-gpt2-large,56882,567714,245640,0.0025132820000000004,0.005677140000000001,36,11.052391963089608,4.892917521459357
7,4-gpt2-xl,71250,805644,307050,0.00314175,0.00805644,48,6.63112384286889,2.585922980042467
10,3-opt-1b3m,129023,2001594,393024,0.0040592630000000005,0.020015940000000003,24,10.264589080989989,2.081674238964878
8,4-opt-2b7m,164080,2995546,493312,0.0050972000000000005,0.029955460000000003,32,6.130816919092835,1.0432154939366645
5,1-llama-7b,244099,5635338,659136,0.006835459,0.05635338,32,4.571748583379697,0.5545363916059693
3,5-opt-6b7m,322854,7022010,659136,0.006914214,0.07022010000000001,32,4.519674976794181,0.44502927224541117
1,2-llama-13b,344382,8600778,823920,0.008583582000000001,0.08600778,40,2.912536980482041,0.2906713787985226
0,6-opt-13b,466250,10743594,823920,0.00870545,0.10743594000000001,40,2.871764239642982,0.23269680518455926
11,7-opt-30b,839472,20546058,1153488,0.012374352,0.20546058,48,1.6835898423879758,0.1013982017053263
