,Model,pim_layer_latency,Total_Compute_Cycles,Total_Attention_Cycles,pim_+_tpu_latency,tpu_latency,n_layers,n_tokens_tpu_pim,n_tokens_tpu
2,1-gpt2-small,46431,193938,74424,0.0007906710000000001,0.00193938,12,105.39571241810226,42.969058840110414
4,2-gpt2-medium,49919,307738,99232,0.0010422390000000001,0.0030773800000000002,24,39.97803446874149,13.539656027746547
6,2-opt-350m,68770,510298,99232,0.00106109,0.00510298,24,39.2677969509341,8.165163623346881
9,3-gpt2-large,56882,446114,124040,0.001297282,0.004461140000000001,36,21.41228952361767,6.226609740509774
7,4-gpt2-xl,71250,653644,155050,0.0016217500000000001,0.00653644,48,12.846205230974768,3.187259935581652
10,3-opt-1b3m,129023,1807034,198464,0.002113663,0.01807034,24,19.713013222385342,2.30580424422931
8,4-opt-2b7m,164080,2751834,249600,0.00266008,0.027518340000000002,32,11.747766984451596,1.135606290205005
5,1-llama-7b,244099,5309706,333504,0.0035791390000000003,0.05309706,32,8.731150145328247,0.5885448271523884
3,5-opt-6b7m,322854,6696378,333504,0.003657894,0.06696378,32,8.543167188551664,0.46667019095994877
1,2-llama-13b,344382,8193738,416880,0.004513182,0.08193738,40,5.539329014429287,0.30511104943799766
0,6-opt-13b,466250,10336554,416880,0.00463505,0.10336554,40,5.393685073515927,0.24186010153867527
11,7-opt-30b,839472,19976202,583632,0.006675792000000001,0.19976202,48,3.120728347038573,0.10429076224466158
