,Model,pim_layer_latency,Total_Compute_Cycles,Total_Attention_Cycles,pim_+_tpu_latency,tpu_latency,n_layers,n_tokens_tpu_pim,n_tokens_tpu
2,1-gpt2-small,46431,412818,293304,0.002979471,0.00412818,12,27.969170813655627,20.18645827782057
4,2-gpt2-medium,49919,599578,391072,0.003960639,0.00599578,24,10.52018794610331,6.949332141383884
6,2-opt-350m,68770,802138,391072,0.0039794900000000005,0.00802138,24,10.470353403744365,5.194451162601282
9,3-gpt2-large,56882,810914,488840,0.0049452820000000005,0.00810914,36,5.617026041746007,3.4254899752350774
7,4-gpt2-xl,71250,1109644,611050,0.006181750000000001,0.01109644,48,3.3701352098246176,1.8774790233023682
10,3-opt-1b3m,129023,2390714,782144,0.007950463000000001,0.02390714,24,5.2407849287100206,1.7428545056692963
8,4-opt-2b7m,164080,3482970,980736,0.00997144,0.034829700000000005,32,3.133950562807378,0.8972227725188558
5,1-llama-7b,244099,6286602,1310400,0.013348099,0.06286602000000001,32,2.3411573438285105,0.4970888884010789
3,5-opt-6b7m,322854,7673274,1310400,0.013426854,0.07673274000000001,32,2.327425322417299,0.40725771033329444
1,2-llama-13b,344382,9414858,1638000,0.016724382,0.09414858000000001,40,1.4948235456473071,0.2655377277065676
0,6-opt-13b,466250,11557674,1638000,0.01684625,0.11557674000000001,40,1.4840097944646433,0.21630649904124302
11,7-opt-30b,839472,21685770,2293200,0.023771472000000002,0.21685770000000001,48,0.8764006424731852,0.09606914272969479
